Название;Описание товара;Артикул товара;Бренд товара;Характеристика товара;Ссылка на изображение;Наличие товара;Цена;Каталог товара
Семена лука Красный Барон 1 г. (Яскрава);Нет описания;3999;Яскрава;[];https://semena.market/images/product/463x463/12397.jpg;Нет в наличии;5,5;Яскрава
Семена лука Штутгартен Ризен 1г. (Яскрава);Нет описания;4000;Яскрава;[];https://semena.market/images/product/463x463/10368.jpg;Нет в наличии;3,5;Яскрава
Семена лука Ялтинский красный 1 г. (Яскрава);Нет описания;4001;Яскрава;[];https://semena.market/images/product/463x463/10382.jpg;Нет в наличии;0;Яскрава
Семена лука Ексибишн F1 1 г. (АГРОПАКГРУП);Нет описания;4674;Агропакгруп;[];https://semena.market/images/product/463x463/11344.jpg;Нет в наличии;30,4;Агропакгруп
Семена лука Белый Джамбо 1 г. (Садиба Центр);Нет описания;8965;Садиба Центр;[];https://semena.market/images/product/463x463/12169.jpg;Нет в наличии;8;Садиба Центр
Семена лука Падишах 10 г. (Традиція);Нет описания;9016;Садиба Центр;[];https://semena.market/images/product/463x463/12212.jpg;Нет в наличии;49,5;Садиба Центр
Семена лука Тексас Грано 10 г. (Традиція);Нет описания;9018;Садиба Центр;[];https://semena.market/images/product/463x463/12246.jpg;Нет в наличии;62;Садиба Центр
Семена лука Халцедон 1 г. (Традиція);Нет описания;9019;Садиба Центр;[];https://semena.market/images/product/463x463/12186.jpg;Нет в наличии;4,5;Садиба Центр
Семена лука - порея Карентан 5 г.(Традиція);Нет описания;9088;Садиба Центр;[];https://semena.market/images/product/463x463/12780.jpg;Нет в наличии;22;Садиба Центр
Семена лука Глобус 1 г.(Традиція);Нет описания;9103;Садиба Центр;[];https://semena.market/images/product/463x463/12781.jpg;Нет в наличии;5;Садиба Центр
Семена лука Белая Королева 1 г. (Яскрава);Нет описания;9513;Яскрава;[];https://semena.market/images/product/463x463/12402.jpg;Нет в наличии;5,5;Яскрава
Семена лука Ексибишн 1 г. (Яскрава);Нет описания;9517;Яскрава;[];https://semena.market/images/product/463x463/12396.jpg;Нет в наличии;5,5;Яскрава
Семена лука Душистый 0,5 г (GL SEEDS);Драгоценность в мире овощей. Легкий, душистый, напоминающий чесночный вкус, считается пикантным компонентом супов и разнообразных салатов. Дает несколько побегов высотой 50 см, предпочитает солнечную сторону и дренированную почву. Листья плоские. Шаровидные соцветия состоят из белых, звездообразных, с приятным запахом цветков, раскрывающихся в конце весны. После цветения растение необходимо подрезать. Прекрасное почвопокровное растение, которое украсит клумбы.;9562;GL Seeds;Срок созревания Ранний;https://semena.market/images/product/463x463/12593.jpg;Нет в наличии;4,5;GL Seeds
Семена лука-шалот Запорожский 1 г (GL SEEDS);Многолетнее растение, образующее луковицы из множества долек, которые рано созревают и хорошо хранятся, а также сильно разветвлённую, нежную, тонкую, ароматную зелень. Луковицы округло-овальной формы, плотные, морозостойкие, массой 30-40 г. Окраска сухих чешуй желтая со светло-сиреневым оттенком, сочные чешуи сладковато-острого вкуса. Выращивается как из севка, так и посевом семян в грунт под зиму или ранней весной.;9563;GL Seeds;Срок созревания Ранний;https://semena.market/images/product/463x463/12594.jpg;Нет в наличии;18;GL Seeds
Семена лука озимый Вольф F1 золотистая 100 сем.(Садыба Центр);Нет описания;9784;Садиба Центр;[];https://semena.market/images/product/463x463/13982.jpg;Нет в наличии;7,5;Садиба Центр
Семена лука - батуна Стася 5 г (Традиція);Нет описания;9788;Садиба Центр;[];https://semena.market/images/product/463x463/12779.jpg;Нет в наличии;9;Садиба Центр
Семена лука Красный Кардинал 1 г. (Традиція);Нет описания;9790;Садиба Центр;[];https://semena.market/images/product/463x463/12778.jpg;Нет в наличии;8;Садиба Центр
Цибуля-порей Карентан, 5 г (Садиба Центр);Нет описания;9918;Нет бренда;[];https://semena.market/images/product/0/0.jpg;Нет в наличии;16,5;Нет каталога
Лук порей Русский размер 50 сем. (Русский огород);Нет описания;10530;Нет бренда;[];https://semena.market/images/product/463x463/13823.jpg;Нет в наличии;25;Нет каталога
Лук репчатый Русский размер 100 сем. (Русский огород);Нет описания;10531;Нет бренда;[];https://semena.market/images/product/463x463/13824.jpg;Нет в наличии;22;Нет каталога
Семена лука репчатого Вольський Seedera, 10 г;Нет описания;10611;Seedera;[];https://semena.market/images/product/463x463/13983.jpg;Нет в наличии;22;Seedera
Семена лука репчатого Штутгартен Ризен Seedera, 10 г;Нет описания;10612;Seedera;[];https://semena.market/images/product/463x463/13984.jpg;Нет в наличии;22;Seedera
Семена лука репчатого Любчик Seedera, 1 г;Нет описания;10684;Seedera;[];https://semena.market/images/product/463x463/13988.jpg;Нет в наличии;5;Seedera
Семена лука репчатого Халцедон Seedera, 2 г;Нет описания;10686;Seedera;[];https://semena.market/images/product/463x463/13990.jpg;Нет в наличии;7;Seedera
Семена лука красного Ялтинский Seedera, 2 г;Нет описания;10689;Seedera;[];https://semena.market/images/product/463x463/13993.jpg;Нет в наличии;9;Seedera
Семена лука шнитт Seedera, 1 г;Нет описания;10690;Seedera;[];https://semena.market/images/product/463x463/13994.jpg;Нет в наличии;5;Seedera
Семена лука-батун Апрельский 1 г (GL SEEDS);Многолетнее растение, на одном месте может использоваться 3-5 лет. Зимостоек и морозостоек. Легко переносит зимы с температурой -35-40 °С. Прорастает ранней весной при температуре 2-4 °С. Норма высева 0,6-0,7 г/м2.;11129;GL Seeds;Срок созревания Ранний;https://semena.market/images/product/463x463/14375.jpg;Нет в наличии;6,5;GL Seeds
Семена лука Порей 1 г (GL SEEDS);Сорт позднеспелый. Отличается прекрасными вкусовыми качествами, даёт свежую зелень до самых заморозков. Луковица слабо выражена, лист темно-зеленый с восковым налетом. Вкус нежный, полуострый.;11130;GL Seeds;Срок созревания Поздний;https://semena.market/images/product/463x463/14376.jpg;Нет в наличии;5,5;GL Seeds
Семена лука Шашлычный 1 г (GL SEEDS);Среднеранний зимостойкий сорт. Образует мощный куст с прямостоячими узкими темно-зелеными листьями со слабым восковым налетом. Растения имеют продолжительную отдачу зеленых листьев, обладающих ярким вкусом.;11131;GL Seeds;Срок созревания Среднеранний;https://semena.market/images/product/463x463/14377.jpg;Нет в наличии;4,5;GL Seeds
Семена лука-шнитт Богемия 1 г (GL SEEDS);Неприхотливое многолетнее растение. Используется до 5-6 лет при выращивании на одном месте. Листья трубчатые, тонкие, сочные, нежные, высотой 30-45 см. Вкус полуострый. Содержание аскорбиновой кислоты самое высокое среди луковых растений. При регулярной срезке отрастает в течении всего сезона. Отличный медонос.;11132;GL Seeds;Срок созревания Среднеспелый;https://semena.market/images/product/463x463/14378.jpg;Нет в наличии;7;GL Seeds
Семена лука Белая королева 1 г (GL SEEDS);Великолепный раннеспелый сорт. Формирует красивые округло-плоские плоды, крупные, массой 120-150 г, полуострого вкуса. Чешуя и мякоть белоснежные, луковицы плотные, выровненные, белые чешуи сочные, твердые. Отлично хранится до 5 месяцев. Стабильная урожайность в любой климатической зоне. Преимущественно используется в свежем виде для салатов и гарниров.;11133;GL Seeds;Срок созревания Ранний;https://semena.market/images/product/463x463/14392.jpg;Нет в наличии;4,5;GL Seeds
Семена лука Веселка 2 г (GL SEEDS);Среднеспелый (110-120 дней) высокоурожайный сорт. Луковицы красивые, округло-плоской формы, массой 80-120 г. Наружные чешуи темно-красные, внутренние - белые с красными кольцами с фиолетовым отливом. Вкус полуострый. Лежкость хорошая. Слабо поражается болезнями. Яркие красные кольца луковицы являются украшением любого салата.;11134;GL Seeds;Срок созревания Среднеспелый;https://semena.market/images/product/463x463/14387.jpg;Нет в наличии;4,5;GL Seeds
Семена лука Луганский 3 г (GL SEEDS);Высокоурожайный скороспелый, полуострый сорт. Луковицы округлые, средней плотности, массой 70-100 г (отдельные до 200 г), на 1/3 расположены над поверхностью почвы, что ускоряет созревание и облегчает уборку. Лежкость высокая (до 7 месяцев).;11135;GL Seeds;Срок созревания Среднепоздний;https://semena.market/images/product/463x463/14382.jpg;Нет в наличии;7;GL Seeds
Семена лука Ред Барон 1 г (GL SEEDS);Раннеспелый (90-95 дней) высокоурожайный сорт. Луковица плоско-округлая, сухие чешуи - красные, сочные чешуи - темно-красные, вкус пикантный, слабоострый. Масса луковицы до 110-130 г. Отличается стабильной урожайностью, высокой выравненностью. Пригоден для выращивания из семян и через севок. Устойчив к болезням, отлично хранится.;11136;GL Seeds;Срок созревания Ранний;https://semena.market/images/product/463x463/14383.jpg;Нет в наличии;5,5;GL Seeds
Семена лука Серебряная луна 1 г (GL SEEDS);Среднеспелый (96-102 дня) однолетний сорт. Луковица округлая, крупная, массой до 300 г, красивой серебристо-белой окраски. Сочные чешуи белоснежные, плотные, слабоострого, сладкого вкуса. Сорт салатного назначения. Отлично хранится до 5 месяцев. Урожайность высокая.;11137;GL Seeds;Срок созревания Среднеспелый;https://semena.market/images/product/463x463/14388.jpg;Нет в наличии;4,5;GL Seeds
Семена лука Халцедон 2 г (GL SEEDS);Высокопродуктивный среднеспелый сорт (94-115 дней). Товарные луковицы выращивают в один год при посеве семян непосредственно в грунт. Луковицы одногнездные, плотные, на 1/3 расположены на поверхности почвы, что значительно облегчает уход и уборку. Окраска сухих чешуй коричнево-бронзовая, масса луковицы 100-150 г, отдельные экземпляры достигают 400-500 г, вкус полуострый. Урожайность 700 ц/га. Отличная лёжкость до 10-12 мес. Использование универсальное. Переносит длительную транспортировку, сохраняя свои качества. Идеальный выбор для фермеров.;11138;GL Seeds;Срок созревания Среднеспелый;https://semena.market/images/product/463x463/14380.jpg;Нет в наличии;7;GL Seeds
Семена лука Штутгартен Ризен 3 г (GL SEEDS);Высокоурожайный среднеспелый (75-85 дней) сорт. Луковицы среднего размера и крупные, массой 80-130 г, плоско-округлой формы, плотные, вкус пикантный, полуострый. Окраска сухих чешуй золотисто-коричневая, сочных - белая. Рекомендуется для выращивания в однолетней культуре семенами, в двухлетней - севком. Сорт универсального использования. Ценится за высокие товарные качества, отличную лёжкость и транспортабельность.;11139;GL Seeds;Срок созревания Среднеспелый;https://semena.market/images/product/463x463/14384.jpg;Нет в наличии;7;GL Seeds
Семена лука Ялтинский 1 г (GL SEEDS);Великолепный популярный сорт салатного назначения (86-96 дней). Луковица округло-плоская, массой 100-130 г, фиолетово-красной окраски, внутренние сочные чешуи белые с фиолетовым оттенком, вкус сладкий. Яркие кольца луковиц являются украшением любого салата. Лёжкость и транспортабельность высокие.;11140;GL Seeds;Срок созревания Среднеспелый;https://semena.market/images/product/463x463/14393.jpg;Нет в наличии;7;GL Seeds
Семена лука Глобус 15 г (GL SEEDS);Высокоурожайный полуострый сорт. Формирует красивые луковицы массой 130-150 г, плоско-округлые, с тонкой шейкой, плотные, с крепкими поверхностными чешуйками золотистого цвета. Рекомендуется для длительного хранения (6-7 месяцев).;11526;GL Seeds;Срок созревания Среднеспелый;https://semena.market/images/product/463x463/14385.jpg;Нет в наличии;21,5;GL Seeds
Семена лука Донецкий золотистый 15 г (GL SEEDS);Популярный среднеспелый (100-107 дней) высокоурожайный сорт. При посеве семенами за один сезон формирует луковицы красивой округлой формы, массой 150-200 г, с золотистой чешуей, с плотно прилегающими бело-кремовыми сочными чешуями полуострого вкуса. Обладает устойчивостью к комплексу заболеваний и отличной лёжкоспособностью до 8 месяцев.;11527;GL Seeds;Срок созревания Среднеспелый;https://semena.market/images/product/463x463/14386.jpg;Нет в наличии;21,5;GL Seeds
Семена лука Луганский 10 г (GL SEEDS);Высокоурожайный скороспелый, полуострый сорт. Луковицы округлые, средней плотности, массой 70-100 г (отдельные до 200 г), на 1/3 расположены над поверхностью почвы, что ускоряет созревание и облегчает уборку. Лежкость высокая (до 7 месяцев).;11528;GL Seeds;Срок созревания Среднепоздний;https://semena.market/images/product/463x463/14381.jpg;Нет в наличии;18;GL Seeds
Семена лука Халцедон 10 г (GL SEEDS);Высокопродуктивный среднеспелый сорт (94-115 дней). Товарные луковицы выращивают в один год при посеве семян непосредственно в грунт. Луковицы одногнездные, плотные, на 1/3 расположены на поверхности почвы, что значительно облегчает уход и уборку. Окраска сухих чешуй коричнево-бронзовая, масса луковицы 100-150 г, отдельные экземпляры достигают 400-500 г, вкус полуострый. Урожайность 700 ц/га. Отличная лёжкость до 10-12 мес. Использование универсальное. Переносит длительную транспортировку, сохраняя свои качества. Идеальный выбор для фермеров.;11529;GL Seeds;Срок созревания Среднеспелый;https://semena.market/images/product/463x463/14379.jpg;Нет в наличии;18;GL Seeds
Семена лука батуна Русский зимний 1 г (Русский Огород);Среднеспелый сорт, от начала отрастания листьев до технической спелости 27-30 дней. Листья светло-зеленые со средним восковым налетом, длина листьев до 33 см, ширина 0,95 см. Вкус слабоострый. Товарную луковицу не формирует. Урожайность зеленого лука за одну срезку - 1,58 кг/м2, за сезон - 3,68 кг/м2.;11610;Нет бренда;"Срок созревания Среднеспелый; Посадка IV-VI; Сбор урожая V-X";https://semena.market/images/product/463x463/15402.jpg;Нет в наличии;25;Нет каталога
Насіння цибулі-батуна Квітневий 5 г (GL SEEDS);Нет описания;13494;Нет бренда;[];https://semena.market/images/product/0/0.jpg;Нет в наличии;18;Нет каталога
Семена мангольду листового смесь Радуга свкла 3 г. (Seedera);Нет описания;4139;Seedera;[];https://semena.market/images/product/463x463/10602.jpg;В наличии;7;Seedera
Семена мангольду листового Вулкан 3 г (GL SEEDS);Высокопроизводительный среднеранний сорт для летних супов и борщей, салатов, консервирования. Листья крупные, с фиолетовым оттенком. Черенки толстые, 25-30 см длиной, красно-малинового цвета. Сорт устойчив к засухе и болезням. Семена высевают рано весной или под зиму.;3805;GL Seeds;[];https://semena.market/images/product/463x463/10092.jpg;Нет в наличии;5;GL Seeds
Семена мангольду листового зеленого Лукуллус свекла 2 г. (Яскрава);Нет описания;4116;Яскрава;[];https://semena.market/images/product/463x463/10299.jpg;Нет в наличии;5;Яскрава
Семена мангольда красный 3 г. (Seedera);Нет описания;9260;Seedera;[];https://semena.market/images/product/463x463/12125.jpg;Нет в наличии;6,5;Seedera
Семена мангольда Весенняя радуга 3 г (GL SEEDS);Очень живописное крупное растение высотой 60-70 см, с успехом украсит Ваш огород и цветник. Образует эффектную розетку гофрированных листьев с цветными прожилками и черешками ярко-красного, желтого, малинового, серебристого и зеленого цветов. В пищу употребляют молодые листья и черешки. С одного растения можно собрать около 1 кг ранневесенней зеленой витаминной продукции.;11142;GL Seeds;[];https://semena.market/images/product/463x463/14552.jpg;Нет в наличии;7;GL Seeds
Семена мангольда Лукулус зеленый 3 г (GL SEEDS);Разновидность свеклы, у которой хозяйственную ценность представляют сочные листья и черешки. Используется для приготовления холодных борщей, салатов и консервирования. Черешки толстые, светло-зелёные, длиной 25-35 см, розетка мощная, крупная. Срезку необходимо проводить систематически, не допуская огрубения черешков.;11143;GL Seeds;[];https://semena.market/images/product/463x463/14553.jpg;Нет в наличии;5;GL Seeds
Мицелий грибов Вешенка осенняя 10 г. (GOLDEN GARDEN);Нет описания;Нет артикула;GOLDEN GARDEN;[];https://semena.market/images/product/463x463/8203.jpg;Нет в наличии;21;GOLDEN GARDEN
Мицелий грибов Масленок обыкновенный 10 г. (GOLDEN GARDEN);Нет описания;Нет артикула;GOLDEN GARDEN;[];https://semena.market/images/product/463x463/8204.jpg;Нет в наличии;21;GOLDEN GARDEN
Мицелий грибов Лисичка обыкновенная 10 г. (GOLDEN GARDEN);Нет описания;Нет артикула;GOLDEN GARDEN;[];https://semena.market/images/product/463x463/8205.jpg;Нет в наличии;21;GOLDEN GARDEN
Мицелий грибов Шампиньон кривой 10 г. (GOLDEN GARDEN);Нет описания;Нет артикула;GOLDEN GARDEN;[];https://semena.market/images/product/463x463/8206.jpg;Нет в наличии;21;GOLDEN GARDEN
Мицелий грибов Опенок зимний 10 г. (GOLDEN GARDEN);Нет описания;Нет артикула;GOLDEN GARDEN;[];https://semena.market/images/product/463x463/8207.jpg;Нет в наличии;21;GOLDEN GARDEN
Мицелий грибов Опенок осенний 10 г. (GOLDEN GARDEN);Нет описания;Нет артикула;GOLDEN GARDEN;[];https://semena.market/images/product/463x463/8208.jpg;Нет в наличии;21;GOLDEN GARDEN
Мицелий грибов Подосиновик красный 10 г. (GOLDEN GARDEN);Нет описания;Нет артикула;GOLDEN GARDEN;[];https://semena.market/images/product/463x463/8209.jpg;Нет в наличии;21;GOLDEN GARDEN
Мицелий грибов Дубовик обыковенный 10 г. (GOLDEN GARDEN);Нет описания;Нет артикула;GOLDEN GARDEN;[];https://semena.market/images/product/463x463/8210.jpg;Нет в наличии;21;GOLDEN GARDEN
Мицелий грибов Опенок луговой 10 г. (GOLDEN GARDEN);Нет описания;Нет артикула;GOLDEN GARDEN;[];https://semena.market/images/product/463x463/8211.jpg;Нет в наличии;21;GOLDEN GARDEN
Семена моркови столовой Королева осени 10 г. (КОСТЮК);Нет описания;1027;КОСТЮК;"Срок созревания Поздний; Длинна корнеплода 30; Масса корнеплода 150-200; Упаковка Пакет гигант; Фасовка 10 г.; Торговая марка Костюк";https://semena.market/images/product/463x463/9315.jpg;В наличии;19,5;КОСТЮК
Семена моркови столовой Ланге Роте Штумпфе 10 г. (КОСТЮК);Нет описания;1033;КОСТЮК;"Срок созревания Поздний; Длинна корнеплода 20 см; Масса корнеплода 80-160 г; Упаковка Пакет гигант; Фасовка 10 г; Торговая марка Костюк";https://semena.market/images/product/463x463/9316.jpg;В наличии;19,5;КОСТЮК
Семена моркови столовой Красный Великан 10 г. (КОСТЮК);Нет описания;1043;КОСТЮК;"Срок созревания Поздний; Длинна корнеплода 26 см; Масса корнеплода 150 г; Упаковка Пакет гигант; Фасовка 10 г.; Торговая марка Костюк";https://semena.market/images/product/463x463/9323.jpg;В наличии;19,5;КОСТЮК
Семена моркови столовой Красный Великан 20 г. (КОСТЮК);Нет описания;1044;КОСТЮК;"Срок созревания Поздний; Длинна корнеплода 26; Масса корнеплода 150; Упаковка Пакет гигант; Фасовка 20 г.; Торговая марка Костюк";https://semena.market/images/product/463x463/9325.jpg;В наличии;16;КОСТЮК
Семена моркови столовой без сердцевины 10 г. (КОСТЮК);Нет описания;1021;КОСТЮК;"Срок созревания Поздний; Длинна корнеплода 20; Упаковка Пакет гигант; Фасовка 10 г.; Торговая марка Костюк";https://semena.market/images/product/463x463/9321.jpg;В наличии;19,5;КОСТЮК
Семена моркови столовой без сердцевины 20 г. (КОСТЮК);Нет описания;3245;КОСТЮК;"Срок созревания Поздний; Длинна корнеплода 20; Упаковка Пакет гигант; Фасовка 20 г.; Торговая марка Костюк";https://semena.market/images/product/463x463/9322.jpg;В наличии;16;КОСТЮК
Семена моркови столовой Зимний нектар 10 г. (КОСТЮК);Нет описания;4627;КОСТЮК;"Срок созревания Среднепоздний; Длинна корнеплода 18-20; Упаковка Пакет гигант; Фасовка 10 г.; Торговая марка Костюк";https://semena.market/images/product/463x463/11180.jpg;В наличии;19,5;КОСТЮК
Семена моркови столовой Артек 5 г. (АгроВест);Раннеспелый сорт. Лучший для получения ранней продукции. Вегетационный период 65-80 дней. Высокоурожайный. Корнеплод оранжево-красный, цилиндрической формы с тупым кончиком, гладкий, сочный, длиной 15 см, массой 80-130 г. Вкусовые качества отличные. Используют в свежем виде и для переработки.;504;АгроВест;"Срок созревания Ранний; Длинна корнеплода 16 см; Масса корнеплода 80-130 г; Упаковка Мини пакет; Фасовка 5 г.; Торговая марка АгроВест";https://semena.market/images/product/463x463/11800.jpg;В наличии;8;АгроВест
Семена моркови столовой Берликумер 2 Перфекция 20 г. (АгроВест);Позднеспелый сорт. Вегетационный период около 150 дней. Корнеплод цилиндрической формы, длиной 16-19 см, весом 220-250 г, красно-оранжевого цвета. Для весеннего и осеннего посева.;506;АгроВест;"Срок созревания Поздний; Посадка III-V;XI; Сбор урожая VI-X; Длинна корнеплода 16-19; Масса корнеплода 220-250; Упаковка Пакет гигант; Фасовка 20 г.; Торговая марка АгроВест";https://semena.market/images/product/463x463/3830.jpg;В наличии;21;АгроВест
Семена моркови столовой Дарина 20 г. (АгроВест);Высокоурожайный, позднеспелый сорт. Вегетационный период от всходов до сбора урожая составляет 150 дней. Корнеплоды цилиндрические с тупым кончиком, длиной до 20 см, ярко-оранжевые, с небольшой сердцевиной. Мякоть сочная, нежная, сладкая. Один из лучших сортов с повышенным содержанием каротина и сахаров, незаменим в диетическом и детском питании.;516;АгроВест;"Срок созревания Поздний; Посадка III-VI;IX; Сбор урожая VIII-IX; Длинна корнеплода 20; Упаковка Пакет гигант; Фасовка 20 г.; Торговая марка АгроВест";https://semena.market/images/product/463x463/4021.jpg;В наличии;21;АгроВест
Семена моркови столовой Дарина 5 г. (АгроВест);Высокоурожайный, позднеспелый сорт. Вегетационный период от всходов до сбора урожая составляет 150 дней. Корнеплоды цилиндрические с тупым кончиком, длиной до 20 см, ярко-оранжевые, с небольшой сердцевиной. Мякоть сочная, нежная, сладкая. Один из лучших сортов с повышенным содержанием каротина и сахаров, незаменим в диетическом и детском питании.;517;АгроВест;"Срок созревания Поздний; Посадка III-V;IX; Сбор урожая VII-X; Длинна корнеплода 20; Упаковка Мини пакет; Фасовка 5 г.; Торговая марка АгроВест";https://semena.market/images/product/463x463/4022.jpg;В наличии;8;АгроВест
Семена моркови столовой Долянка 20 г. (АгроВест);Сорт позднеспелый, вегетационный период 150 дней. Корнеплоды конусные, оранжевого цвета, длиной 18-22 см, массой до 200 г. Имеет большое содержание сахара и каротина. Рекомендуется для переработки, замораживания и длительного хранения.;519;АгроВест;"Срок созревания Поздний; Посадка III-V;XI; Сбор урожая IX-X; Длинна корнеплода 18-22; Масса корнеплода 200; Упаковка Пакет гигант; Фасовка 20 г.; Торговая марка АгроВест";https://semena.market/images/product/463x463/5730.jpg;В наличии;21;АгроВест
Семена моркови столовой Император 5 г. (АгроВест);Позднеспелый сорт. Срок созревания 130-140 дней. Корнеплоды цилиндрической формы, длиной 28-35 см. Плотная, сладкая, сочная мякоть с повышенным содержанием каротина и маленькой сердцевиной. Используют для потребления в свежем виде и длительного хранения.;523;АгроВест;"Срок созревания Поздний; Посадка III-VI;XI; Сбор урожая VI-X; Длинна корнеплода 28-35; Упаковка Мини пакет; Фасовка 5 г.; Торговая марка АгроВест";https://semena.market/images/product/463x463/3912.jpg;В наличии;8;АгроВест
Семена моркови столовой Королева осени 20 г. (АгроВест);Сорт среднеспелый (100-110 дней). Корнеплоды цилиндрические, оранжево-красного цвета, весом 180-200 г. Имеют большое количество каротина. Сорт урожайный, хорошо хранится. Отличается маленькой сердцевиной.;7200;АгроВест;"Срок созревания Среднеспелый; Посадка III-VI;XI; Сбор урожая VII-X; Длинна корнеплода 30; Масса корнеплода 180-200; Упаковка Пакет гигант; Фасовка 20 г.; Торговая марка АгроВест";https://semena.market/images/product/463x463/3800.jpg;В наличии;19;АгроВест
Семена моркови столовой Нантская 20 г. (АгроВест);Нет описания;7206;АгроВест;"Срок созревания Среднеспелый; Посадка III-IV;XI; Сбор урожая VII-X; Длинна корнеплода 18-20; Масса корнеплода 90-150; Упаковка Пакет гигант; Фасовка 20 г.; Торговая марка АгроВест";https://semena.market/images/product/463x463/13530.jpg;В наличии;21;АгроВест
Семена моркови столовой Флакке 20 г. (АгроВест);Сорт поздний. Период от всходов до терхнической спелости 110-120 дней. Корнеплоды темного-оранжевого цвета, длина около 25 см, немного конической формы. Отличаются повышенным содержанием каротина и вкусовыми качествами. Лежкость отличная.;7222;АгроВест;"Срок созревания Поздний; Посадка III-V;XI; Сбор урожая VI-X; Длинна корнеплода 25; Упаковка Пакет гигант; Фасовка 20 г.; Торговая марка АгроВест";https://semena.market/images/product/463x463/3773.jpg;В наличии;21;АгроВест
Семена моркови столовой Флакке 5 г. (АгроВест);Сорт поздний. Период от всходов до терхнической спелости 110-120 дней. Корнеплоды темного-оранжевого цвета, длина около 25 см, немного конической формы. Отличаются повышенным содержанием каротина и вкусовыми качествами. Лежкость отличная.;7223;АгроВест;"Срок созревания Поздний; Посадка III-V;XI; Сбор урожая VI-X; Длинна корнеплода 25; Упаковка Мини пакет; Фасовка 5 г.; Торговая марка АгроВест";https://semena.market/images/product/463x463/3774.jpg;В наличии;8;АгроВест
Семена моркови столовой Красная Боярыня 20 г. (АгроВест);Сорт среднепоздний. Корнеплод цилиндрический, тупоконечный, ярко-оранжевый, длиной 20-22 см. Сердцевина среднего размера, оранжевая. Вкусовые качества отличные. Отличается стабильной урожайностью. Рекомендуется для потребления в свежем виде и для длительного хранения. Хранится до нового урожая, сохраняя высокие вкусовые качества на протяжении зимы.;7228;АгроВест;"Срок созревания Среднепоздний; Посадка IV-V;XI; Сбор урожая VI-IX; Длинна корнеплода 20-22; Упаковка Пакет гигант; Фасовка 20 г.; Торговая марка АгроВест";https://semena.market/images/product/463x463/4018.jpg;В наличии;21;АгроВест
Семена моркови столовой Красный Великан 20 г. (АгроВест);Позднеспелый сорт, вегетационный период 150-160 дней. Корнеплоды конические, очень крупные насыщенного оранжевого цвета, длиной 20-25 см, с высоким содержанием каротина. Пригодны для потребления в свежем виде и длительного хранения.;7230;АгроВест;"Срок созревания Поздний; Посадка III-V;XI; Сбор урожая VII-X; Длинна корнеплода 20-25; Масса корнеплода 150; Упаковка Пакет гигант; Фасовка 20 г.; Торговая марка АгроВест";https://semena.market/images/product/463x463/5732.jpg;В наличии;21;АгроВест
Семена моркови столовой Красный Великан 5 г. (АгроВест);Позднеспелый сорт, вегетационный период 150-160 дней. Корнеплоды конические, очень крупные насыщенного оранжевого цвета, длиной 20-25 см, с высоким содержанием каротина. Пригодны для потребления в свежем виде и длительного хранения.;7231;АгроВест;"Срок созревания Поздний; Посадка III-V;XI; Сбор урожая VII-X; Длинна корнеплода 20-25; Масса корнеплода 150; Упаковка Мини пакет; Фасовка 5 г.; Торговая марка АгроВест";https://semena.market/images/product/463x463/5733.jpg;В наличии;8;АгроВест
Семена моркови столовой Тушон инкр. 3 г. (АгроВест);Нет описания;7220;АгроВест;"Срок созревания Среднеранний; Длинна корнеплода 18-22; Масса корнеплода 140-160; Упаковка Мини пакет; Фасовка 3 г.; Торговая марка АгроВест";https://semena.market/images/product/463x463/13533.jpg;В наличии;8;АгроВест
Семена моркови Памела 20 г. (Садыба Центр);Нет описания;1355;Садиба Центр;"Срок созревания Среднеранний; Длинна корнеплода 18-20 см; Масса корнеплода 300-400 г; Упаковка Пакет гигант; Фасовка 20 г.; Торговая марка Садиба Центр";https://semena.market/images/product/463x463/6020.jpg;В наличии;47,5;Садиба Центр
Семена моркови Шантане, 20 г. (Садыба Центр);Самый известный средне-поздний универсальный сорт типа Шантане (110-120 дней). Очень гладкие корнеплоды конической формы, 15-17 см. Высокая урожайность и высокие вкусовые качества. Подходит для выращивания на всех видах почвы, включая тяжелые черноземы. Предназначен для употребления в свежем виде, переработки и длительного хранения.;1362;Садиба Центр;"Срок созревания Среднепоздний; Длинна корнеплода 15-17 см; Масса корнеплода 95-250 г; Упаковка Пакет гигант; Фасовка 20 г.; Торговая марка Садиба Центр";https://semena.market/images/product/463x463/6024.jpg;В наличии;47,5;Садиба Центр
Семена моркови Вита Лонга, 1 г. (Садыба Центр);Поздний, высокоурожайный сорт моркови типа Флакке. Для длительного хранения, употребления в свежем виде и переработки. Корнеплоды весом 300-500г, конической формы, с тупым кончиком, равномерного интенсивно-оранжевого цвета как снаружи, так и внутри, обладают превосходными вкусовыми качествами. Высокое содержание углеводов и каротина. Используется для производства сока и детского питания.;1347;Садиба Центр;"Срок созревания Поздний; Длинна корнеплода 25-35 см; Масса корнеплода 300-500 г; Упаковка Мини пакет; Фасовка 1 г.; Торговая марка Садиба Центр";https://semena.market/images/product/463x463/6880.jpg;В наличии;14,5;Садиба Центр
