Name;Number;Albums;Labels;description;description_2
Shahid Kapoor;55;Not Albums;Not Labels;"Shahid Kapoor (pronounced [ad kpur]; born 25 February 1981), is an Indian actor who appears in Hindi films. Cited in the media as one of the most attractive Indian celebrities, Kapoor maintains his popularity despite a fluctuating career trajectory and is the recipient of several awards, including three Filmfare Awards. Initially recognised for portraying romantic roles, he has since taken on parts in action films and thrillers.The son of actors Pankaj Kapur and Neelima Azeem, Kapoor was born in New Delhi. His parents separated when he was three, and he continued living with his mother. They moved to Mumbai when he was 10, where he joined Shiamak Davar's dance academy. Kapoor appeared as a background dancer in a few films of the 1990s, and was later featured in music videos and television commercials. He made his film debut in 2003 with a leading role in the romantic comedy Ishq Vishk, a sleeper hit for which he won a Filmfare Award for Best Male Debut. He followed it with roles in several commercial failures before starring in Sooraj Barjatya's top-grossing family drama Vivah (2006).Kapoor earned nominations for the Filmfare Award for Best Actor for portraying a troubled businessman in Imtiaz Ali's romantic comedy Jab We Met (2007) and twin brothers in Vishal Bhardwaj's thriller Kaminey (2009). After appearing in another series of unsuccessful films, he starred in the action film R... Rajkumar (2013). Kapoor received critical acclaim for portraying the Hamlet character in Bhardwaj's tragedy Haider (2014) and a drug abusing singer in the crime drama Udta Punjab (2016). For the former, he won a Filmfare Award for Best Actor and for the latter, he won a Filmfare Critics Award for Best Actor. Kapoor's highest-grossing releases came with the period drama Padmaavat (2018) and the romantic drama Kabir Singh (2019).In addition to acting, Kapoor supports charities, hosts award ceremonies, and has featured as a talent judge on the dance reality show Jhalak Dikhhla Jaa Reloaded (2015). He is married to the homemaker Mira Rajput, with whom he has two children.";Not description
Daniel Henney;56;Not Albums;Not Labels;Daniel Phillip Henney (born November 28, 1979) is a Korean-American actor and model. He is known for starring in films such as Seducing Mr. Perfect (2006), My Father (2007), X-Men Origins: Wolverine (2009), Shanghai Calling (2012), The Last Stand (2013), and Big Hero 6 (2014).In television, he is known for starring in the Korean dramas Spring Waltz and My Lovely Sam Soon as well as US television series Hawaii Five-0 and Criminal Minds: Beyond Borders. He has joined the regular cast of Criminal Minds for its thirteenth season.;Not description
Park Seo-joon;57;Not Albums;Not Labels;"Park Seo-joon (born Park Yong-kyu; December 16, 1988) is a South Korean actor. He is best known for his starring roles in the television series Kill Me, Heal Me (2015), She Was Pretty (2015), Hwarang: The Poet Warrior Youth (2016–2017), Fight for My Way (2017), What's Wrong with Secretary Kim (2018), and Itaewon Class (2020).[3] He has also appeared in films such as The Chronicles of Evil (2015), Midnight Runners (2017), and The Divine Fury (2019).";Not description
Lee Min-ho;58;Not Albums;Not Labels;Lee Min-ho (born June 22, 1987) is a South Korean actor, singer, model, creative director, and businessman. He gained widespread fame worldwide with his role as Gu Jun-pyo in Boys Over Flowers (2009) which also earned him the Best New Actor award at the 45th Baeksang Arts Awards. His notable lead roles in television series include Personal Taste (2010), City Hunter (2011), The Heirs (2013), The Legend of the Blue Sea (2016). In 2020 he starred in Studio Dragon's The King: Eternal Monarch, which grossed US$135 million. Apart from his television career, Lee featured in the first lead role in the film Gangnam Blues (2015). This was followed by his first China-produced film Bounty Hunters (2016), and the mini-romance-web-series Line Romance (2014), both collectively grossed US$51 million.;Not description
Manny Jacinto;59;Not Albums;Not Labels;Not description;Manny Jacinto (born August 19, 1987) is a Filipino-Canadian actor. He is most recognizable for his role as Jason Mendoza on The Good Place (2016-2020). 
Lee Jung-jae;60;Not Albums;Not Labels;Lee Jung-jae (born December 15, 1972) is a South Korean actor, businessman and former model. He is one of the most successful actors in South Korea. Born in Seoul, Lee debuted as a fashion model, then began his acting career on television, notably in the campus series Feelings (1994) and the drama Sandglass (1995). After his acting breakthrough in An Affair (1998), Lee's film career took off. He has starred in a variety of film genres, among them romantic films such as Il Mare (2000) and Over the Rainbow (2002), the melodrama Last Present (2001), well known comedies such as Oh! Brothers (2003), action films The Last Witness (2001) and Typhoon (2005), heist film The Thieves (2012), film noir New World (2013), and period film The Face Reader (2013). He won Best Actor awards at the Blue Dragon Film Awards for City of the Rising Sun (1999), and at the Fantasporto Director's Week for The Housemaid (2010). In 2021, Lee gained widespread international stardom and fame for his role as Seong Gi;Not description
Hui;61;Not Albums;Not Labels;Lee Hoe-taek (born August 28, 1993), better known as Hui, is a South Korean singer under Cube Entertainment. He is the leader, main vocalist, and lead dancer of the boy group PENTAGON. He was previously a member of Triple H with former Pentagon member E'Dawn and former Cube artist HyunA.;Not description
Jung Yong-hwa;62;Not Albums;Not Labels;Jung Yong-hwa (born June 22, 1989) is a South Korean musician, singer-songwriter, record producer and actor. He is the leader, lead vocalist and rhythm guitarist of the rock band CNBLUE. Jung made his television debut in You're Beautiful (2009), and has since starred in television dramas Heartstrings (2011), Marry Him If You Dare (2013), The Three Musketeers (2014) and The Package (2017). On the music front, Jung also made his solo debut with the album One Fine Day in 2015. In 2018, Jung joined the talk show Talk Mon alongside Kang Ho-dong as a host. However, he shortly left the program soon after he was involved in a controversy.;Not description
Vivian Dsena;63;Not Albums;Not Labels;Vivian Dsena (born 28 June 1988) is an Indian television actor known for his performances in Pyaar Kii Ye Ek Kahani, Madhubala – Ek Ishq Ek Junoon and Shakti — Astitva Ke Ehsaas Ki. He also participated in Season 8 of Jhalak Dikhla Jaa, a celebrity dance reality show on Colors TV in 2015.;Not description
Donnie Yen;64;Not Albums;Not Labels;"Donnie Yen Ji-dan (Chinese: ; born 27 July 1963) is a Hong Kong actor, martial artist, film director, producer, action choreographer, stuntman and multiple-time world wushu tournament champion.Yen is one of Hong Kong's top action stars. Yen has displayed skill in an array of martial arts, being well-versed in Tai Chi, Boxing, Kickboxing, Jeet Kune Do, Hapkido, Taekwondo, Karate, Muay Thai, Wrestling, Brazilian Jiu-Jitsu, Judo, Wing Chun, and Wushu. One of the most popular film stars in Asia of the early 2000s, Yen is consistently one of the highest paid actors in Asia. Yen earned HK$220 million (US$28.4 million) from four films and six advertisements in 2013.Yen is credited by many for contributing to the popularisation of Wing Chun in China. He played Wing Chun grandmaster Ip Man in the 2008 film Ip Man, which was a box office success. This has led to an increase in the number of people taking up Wing Chun, leading to hundreds of new Wing Chun schools being opened up in mainland China and other parts of Asia. Ip Chun, the eldest son of Ip Man, even mentioned that he is grateful to Yen for making his family's art popular and allowing his father's legacy to be remembered.  He has also gained international recognition for playing Chirrut mwe in Rogue One: A Star Wars Story (2016) and Xiang in xXx: Return of Xander Cage (2017).";Not description
Paul Nakauchi;65;Not Albums;Not Labels;Paul Nakauchi is an American actor. He is known for Hanzo Shimada - Overwatch (2016) and Shadowsan - Carmen Sandiego (2019);Not description
Akshay Kumar;66;Not Albums;Not Labels;"Rajiv Hari Om Bhatia (born 9 September 1967), known professionally as Akshay Kumar, is an Indian-born Canadian actor, producer, television personality, martial artist, stuntman and philanthropist who works in Bollywood films. In a career spanning over 29 years, Kumar has appeared in over 100 films and has won several awards, including the National Film Award for Best Actor for his performance in Rustom (2016), and two Filmfare Awards for Ajnabee (2001) and Garam Masala (2005).Kumar is one of the most prolific actors of Indian cinema, having starred in 110 films, including 29 commercially successful films. He was the first Bollywood actor whose films' domestic net lifetime collections crossed 20 billion (US$290 million) by 2013, and 30 billion (US$430 million) by 2016. Having done so, he has established himself as one of the prominent actors of Hindi cinema. When he began his acting career in the 1990s, he primarily starred in action films. Later, Kumar also gained fame for his drama, romantic and comic roles.Apart from acting, Kumar has worked as a stunt actor; he has often performed many dangerous stunts in his films, which has earned him the sobriquet ""Indian Jackie Chan"". In 2008, he hosted the show Fear Factor – Khatron Ke Khiladi. In 2009, he founded the Hari Om Entertainment production company and Grazing Goat Pictures production company in 2012. In 2014, Kumar launched the TV reality show Dare 2 Dance. He also owns the team Khalsa Warriors in the World Kabaddi League. As of 2019, according to Forbes, Akshay was the fourth highest paid actor in the world   and the highest paid in India .In 2008, the University of Windsor conferred an honorary Doctorate on Kumar in recognition of his contribution to Indian cinema. In 2009, he was awarded the Padma Shri by the Government of India. In 2011, The Asian Awards honoured Kumar for his outstanding achievement in cinema.";Not description
John Cho;67;Not Albums;Not Labels;"John Cho (born Cho Yo Han; June 16, 1972) is a Korean American actor known for his roles as Harold Lee in the Harold & Kumar films; Jin in Kogonada's feature directorial debut Columbus; and Hikaru Sulu in the Star Trek reboot film series.Early in his career, Cho also starred in the Asian American-centered films Better Luck Tomorrow (2002), Shopping for Fangs (1997), and Yellow (1998). In 2018, he starred in the thriller film Searching, making him the first Asian-American actor in history to headline a mainstream thriller film in Hollywood. He also made history in American television as the first Asian American actor cast as a romantic lead when he starred as Henry Higgs in the 2014 sitcom Selfie. In addition to his role in Selfie, Cho has had lead roles in series such as FlashForward and Off Centre, along with recurring roles in Sleepy Hollow and Difficult People.";Not description
Remy Hii;68;Not Albums;Not Labels;Remy Hii is an actor.;Not description
Nakuul Mehta;69;Not Albums;Not Labels;Nakuul Mehta is an actor.;Not description
Barun Sobti;70;Not Albums;Not Labels;Barun Sobti (born 21 August 1984) is an Indian actor. Sobti started his acting career in 2009 with Star Plus's series Shraddha and later appeared in a negative role in  Dill Mill Gayye. He portrayed his first lead role in Sony Entertainment Television's series Baat Hamari Pakki Hai (2010), In 2011 Sobti played Arnav Singh Raizada in Iss Pyaar Ko Kya Naam Doon?. In 2017 the channel brought back a third season of the show as Iss Pyaar Ko Kya Naam Doon 3.Sobti debuted in Bollywood with the romantic comedy Main Aur Mr. Riight (2014) and later worked on the film Tu Hai Mera Sunday (2017). He also starred in the Hotstar Originals web series Tanhaiyan (2017) and ALTBalaji's The Great Indian Dysfunctional Family (2018). Barun Sobti also made the short films Dry Dreams (2015) and the Voot originals Derma (2019) and Asura(2019).;Not description
Salman Khan;71;Not Albums;Not Labels;"Abdul Rashid Salim Salman Khan (pronounced [slman xan]; born 27 December 1965) is an Indian actor, producer, occasional singer and television personality. In a film career spanning over thirty years, Khan has received numerous awards, including two National Film Awards as a film producer, and two Filmfare Awards for acting. He has a significant following in Asia and the Indian diaspora worldwide, and is cited in the media as one of the most commercially successful actors of both world and Indian cinema. According to the Forbes 2018 list of Top-Paid 100 Celebrity Entertainers in world, Khan was the highest ranked Indian with 82nd rank with earnings of $37.7 million. He is also known as the host of the reality show, Bigg Boss since 2010.The eldest son of screenwriter Salim Khan, Khan began his acting career with a supporting role in Biwi Ho To Aisi (1988), followed by a leading role in Maine Pyar Kiya (1989). Khan continued in Bollywood in the 1990s with roles in several productions, including the romantic drama Hum Aapke Hain Koun..! (1994), the action thriller Karan Arjun (1995), the comedy Biwi No.1 (1999), and the family drama Hum Saath-Saath Hain (1999). After a brief period of decline in the 2000s, Khan achieved greater stardom in the 2010s by playing the lead role in successful films Dabangg (2010), Ready (2011), Ek Tha Tiger (2012), Kick (2014), Sultan (2016) and Tiger Zinda Hai (2017). Forbes included him in their 2015 list of Top-Paid 100 Celebrity Entertainers in world; Khan tied with Amitabh Bachchan for No. 71 on the list, both with earnings of $33.5 million.In addition to his acting career, Khan is a television presenter and promotes humanitarian causes through his charity, Being Human Foundation. Khan's off-screen life is marred by controversy and legal troubles. In 2015 he was convicted of culpable homicide for a negligent driving case in which he ran over five people with his car, killing one, but his conviction was set aside on appeal. On 5 April 2018, Khan was convicted in a blackbuck poaching case and sentenced to five years imprisonment. He is currently out on bail while an appeal is being heard.";Not description
Saif Ali Khan;72;Not Albums;Not Labels;"Saif Ali Khan (pronounced [sf li xan]; born Sajid Ali Khan on 16 August 1970) is an Indian film actor and producer. The son of actress Sharmila Tagore and cricketer Mansoor Ali Khan Pataudi, Khan made his acting debut in Yash Chopra's unsuccessful drama Parampara (1993), but achieved success with his roles in the romantic drama Yeh Dillagi and the action film Main Khiladi Tu Anari (both 1994). Khan's career prospect declined through much of the 1990s, and his biggest commercial success of the decade came with the ensemble drama Hum Saath-Saath Hain (1999). He rose to prominence with roles in two ensemble comedy-dramas—Dil Chahta Hai (2001) and Kal Ho Naa Ho (2003).The 2004 romantic comedy Hum Tum proved to be Khan's first success in which he played the sole male lead, earning him the National Film Award for Best Actor, and starring roles in the drama Parineeta and the romantic comedy Salaam Namaste (both 2005) established him as a leading actor in Bollywood. He earned wide critical praise for his portrayal of a manipulative businessman in the 2004 thriller Ek Hasina Thi, an apprentice in the 2006 English film Being Cyrus, a character based on William Shakespeare's antagonist Iago in the 2006 crime film Omkara, and a terrorist in the 2009 thriller Kurbaan. Khan's greatest commercial success came with the 2008 thriller Race and its 2013 sequel, the 2009 romance Love Aaj Kal, and the 2012 romantic comedy Cocktail. He followed it by starring in a series of films that under-performed at the box office, but received praise in 2018 for playing a troubled policeman in the Netflix thriller series Sacred Games.Khan is the recipient of several accolades, including a National Film Award and six Filmfare Awards, and received the Padma Shri, the fourth highest Indian civilian award, in 2010. He has been noted for his performances in a range of film genres—from crime dramas to thrillers and occasional romances—and his film roles have been credited with contributing to a change in the concept of a Hindi film hero. Khan was married to his first wife, Amrita Singh, for thirteen years, after which he married the actress Kareena Kapoor. He has three children—two with Singh and one with Kapoor. In addition to film acting, Khan is a frequent television presenter, stage show performer and the owner of the production company Illuminati Films.";Not description
Russell Wong;73;Not Albums;Not Labels;"Russell Girard Wong (Chinese: ; pinyin: Wng Shngd; born March 1, 1963) is an American actor. He is the brother of actor/model Michael Wong and Declan Wong. He was the series lead of the TV show Vanishing Son.";Not description
Varun Dhawan;74;Not Albums;Not Labels;Varun Dhawan is an Indian actor and a former model. Dhawan marked his debut in Karan Johar's Student Of The Year —and won a Stardust Awards for Breakthrough Performance – Male.;Not description
Daniel Wu;75;Not Albums;Not Labels;"Daniel Wu Yan-Zu (Chinese: ; pinyin: W Ynz; born September 30, 1974) is an American-Hong Kong actor, director and producer who stars in the AMC martial arts drama series Into the Badlands. Since his film debut in 1998, he has been featured in over 60 films. He is known as a ""flexible and distinctive"" leading actor in the Chinese language film industry.";Not description
Park Tae-hwan;76;Not Albums;Not Labels;"Park Tae-hwan (Korean: ; Hanja: , Korean pronunciation: [pak.t.wan]; born September 27, 1989) is a South Korean competitive swimmer who is an Olympic gold medalist and world champion. He has four Olympic medals, five world titles, and 20 Asian Games medals. He won a gold medal in the 400-meter freestyle and a silver in the 200-meter freestyle events at the 2008 Summer Olympics. He also won two silver medals at the 2012 Summer Olympics in the 200- and 400-meter freestyle. He is the first Asian swimmer to claim a gold medal in the men's 400-meter freestyle, and the first-ever South Korean swimmer to win any Olympic medal in swimming. He also holds 3 Asian Records, all in Men's Freestyle. He is best known for his impressive range and versatility, as he is able to compete at international level in 100-, 200-, 400- and 1,500-meter freestyle.";Not description
Kunal Nayyar;77;Not Albums;Not Labels;"Kunal Nayyar (, kuu-NAHL NY-r; born 30 April 1981) is an Indian-American actor and comedian known for his role as Rajesh Ramayan Koothrappali in the CBS sitcom The Big Bang Theory.According to Forbes, Nayyar was third on the list of world's highest-paid TV actors for 2015, tied with co-star Simon Helberg and with Mark Harmon and Ashton Kutcher, with earnings of US$20 million after The Big Bang Theory. Forbes again placed him third in its world's highest-paid TV actors list in 2018, his revenues rising to $23.5 million in that year.";Not description
Lin Dan;78;Not Albums;Not Labels;"Lin Dan (born October 14, 1983) is a Chinese professional badminton player. He is a two-time Olympic champion, five-time World champion, as well as a six-time All England champion.Widely regarded as the greatest badminton player of all time, by the age of 28 Lin had completed the ""Super Grand Slam"", having won all nine major titles in the badminton world: Olympic Games, World Championships, World Cup, Thomas Cup, Sudirman Cup, Super Series Masters Finals, All England Open, Asian Games, and Asian Championships, becoming the first and only player to achieve this feat. He also became the first men's singles player to retain the Olympic gold medal by winning in 2008 and defending his title in 2012. Winning the Malaysian Open in 2017 marked Lin's success in having won every major title in the badminton world.In 2004, he was dubbed ""Super Dan"" by opponent Peter Gade after winning the All England Open final, and the nickname has since been widely used by his fans as well as the media to refer to him, in recognition of his achievements.";Not description
Leonardo Nam;79;Not Albums;Not Labels;Leonardo Nam (born 5 November 1979) is an Argentine-Australian actor and model of Korean descent known for playing Felix Lutz in Westworld.;Not description
Kunal Kapoor;80;Not Albums;Not Labels;Kunal Raj Kapoor (born 18 October 1977) is an Indian actor, writer and an entrepreneur. Kunal has acted in Hindi, Malayalam and Telugu movies. He is the co-founder of the crowdfunding platform Ketto.;Not description
Park Hae-soo;81;Not Albums;Not Labels;Park Hae-soo (born November 21, 1981) is a South Korean actor. He is best known for his lead role in the drama series Prison Playbook which earned him Best New Actor at The Seoul Awards.;Not description
Ronny Chieng;82;Not Albums;Not Labels;Ronny Xin Yi Chieng ( or Qin Xny, born 21 November 1985) is a Malaysian comedian and actor. He is currently a senior correspondent on Comedy Central's The Daily Show and the creator and star of the ABC Australia sitcom Ronny Chieng: International Student.;Not description
Zach King;83;Not Albums;Not Labels;"Zach King (born February 4, 1990) is an American Vine star, filmmaker and YouTube personality based in Los Angeles. He is most known for his ""magic vines"" - six-second videos digitally edited to look as if he is doing magic. He calls his videos ""digital sleight of hand"". He began posting videos on YouTube in 2008 and in 2013 he started posting videos to Vine. King won the Hewlett-Packard commercial contest in 2010, and got a trip to the red carpet at the London Film Festival. In 2013, he won YouTube's NextUp Creators contest. King and his wife Rachel Holm competed in the 28th season of American reality game show The Amazing Race. They were eliminated during the ninth leg of the race being placed sixth in the overall standings.";Not description
Ken Watanabe;84;Not Albums;Not Labels;Ken Watanabe ( , Watanabe Ken, born October 21, 1959) is a Japanese actor. To English-speaking audiences, he is known for playing tragic hero characters, such as General Tadamichi Kuribayashi in Letters from Iwo Jima and Lord Katsumoto Moritsugu in The Last Samurai, for which he was nominated for the Academy Award for Best Supporting Actor. Among other awards, he has won the Japan Academy Prize for Best Actor twice, in 2007 for Memories of Tomorrow and in 2010 for Shizumanu Taiy. He is also known for his roles in Christopher Nolan's films Batman Begins and Inception.In 2014, he starred in the reboot Godzilla as Dr. Ishiro Serizawa, a role he reprised in the sequel, Godzilla: King of the Monsters. He lent his voice to the fourth and fifth installments of the Transformers franchise respectively, Transformers: Age of Extinction and Transformers: The Last Knight, as Decepticon turned Autobot Drift.He made his Broadway debut in April 2015 in Lincoln Center Theater's revival production of The King and I in the title role. In 2015, Watanabe received his first Tony Award nomination for Best Performance by a Leading Actor in a Musical at the 69th Tony Awards for his role as The King. He is the first Japanese actor to be nominated in this category. Watanabe reprised his role at the London Palladium in June 2018.;Not description
Kal Penn;85;Not Albums;Not Labels;Kalpen Suresh Modi (born April 23, 1977), known professionally as Kal Penn, is an American actor, comedian, producer, and former civil servant. As an actor, he is known for his role portraying Lawrence Kutner on the television program House, as well as the character Kumar Patel in the Harold & Kumar film series. He is also recognized for his performance in the film The Namesake. Penn has taught at the University of Pennsylvania in the Cinema Studies Program as a visiting lecturer.In April 2009, Penn joined the Obama administration as an Associate Director in the White House Office of Public Engagement. This necessitated that his TV character, Lawrence Kutner, be written out of House. Penn briefly left his post in June 2010 to film the third installment of the Harold & Kumar series, A Very Harold & Kumar 3D Christmas, returning to his White House job upon the movie's completion. In July 2011, he again left the White House to accept a role in the television series How I Met Your Mother.In 2016, he began playing Seth Wright in the political drama Designated Survivor and served as host of the game show Superhuman.;Not description
Bruno Mars;86;Not Albums;Not Labels;"Peter Gene Hernandez (born October 8, 1985), known professionally as Bruno Mars, is an American singer, songwriter, record producer, multi-instrumentalist, and dancer. He is known for his stage performances, retro showmanship, and for performing in a wide range of musical styles, including R&B, funk, pop, soul, reggae, hip hop, and rock. Mars is accompanied by his band, The Hooligans, who play a variety of instruments, such as electric guitar, bass, piano, keyboards, drums, and horns, and also serve as backup singers and dancers.Born and raised in Honolulu, Hawaii, Mars moved to Los Angeles in 2003 to pursue a musical career. After being dropped by Motown Records, Mars signed a recording contract with Atlantic Records in 2009. In the same year, he co-founded the production team The Smeezingtons, responsible for various successful singles for Mars himself and other artists. Mars rose to fame in 2010 with the release of the successful singles ""Nothin' on You"" by B.o.B and ""Billionaire"" by Travie McCoy, both of which featured his vocals on the hooks. His debut studio album Doo-Wops & Hooligans (2010), peaked at number three on the Billboard 200 chart in the United States and reached number one in Canada, Germany, the Netherlands and the United Kingdom. It spawned the international number-one singles ""Just the Way You Are"", ""Grenade"", and ""The Lazy Song"". The former won a Grammy Award for Best Male Pop Vocal Performance. In 2011, Mars recorded the single ""It Will Rain"" for the film The Twilight Saga: Breaking Dawn – Part 1 (2011).Mars' second album, Unorthodox Jukebox (2012), peaked at number one in the US, Australia, Canada, Switzerland, and the UK, winning a Grammy Award for Best Pop Vocal Album. Its singles ""Locked Out of Heaven"" and ""When I Was Your Man"", reached number one on the US Billboard Hot 100 chart. In 2014, Mars collaborated with Mark Ronson on ""Uptown Funk"", which topped many music charts worldwide, including the US, Australia, Canada, New Zealand, and the UK. The song won Record of the Year and Best Pop Duo/Group Performance at the Grammys. In 2016, Shampoo Press & Curl replaced The Smeezingtons on the composition of Mars' third studio album, the R&B-focused, 24K Magic. The record debuted at number two in the United States, Canada, France, and New Zealand and received seven Grammy Awards, winning the major categories of Album of the Year, Record of the Year, and Song of the Year. The album yielded the successful singles ""24K Magic"", ""That's What I Like"", and ""Finesse"".Mars has sold over 200 million singles and 26 million albums worldwide, making him one of the best-selling artists of all time. He has released seven number-one singles on the Billboard Hot 100 since his career launched in 2010, attaining his first five faster than any male artist since Elvis Presley. As a songwriter, he was included in Music Week and Billboard magazine as one of the best songwriters of 2011 and 2013, respectively. Mars has received several awards and nominations, including 11 Grammy Awards, three Brit Awards, nine American Music Awards, 10 Soul Train Awards and holds three Guinness World Records. He has appeared in Time magazine's list of the 100 most influential people in the world in 2011 and Forbes magazine's lists of '30 under 30' in 2013, the world's most powerful celebrities in 2014, and Celebrity 100 in 2018 and 2019.";Not description
Tyson Beckford;87;Not Albums;Not Labels;Tyson Beckford (born December 19, 1970) is an American model and actor best known as a Ralph Lauren Polo model. He was also the host of both seasons of the Bravo program Make Me a Supermodel. Beckford has been described as the most successful male supermodel of all time, achieving fame and huge contracts similar to the female models that had huge success in the 1990s. In 2014, Vogue Magazine named Beckford the greatest male model of all time.;Not description
Brandon Soo Hoo;88;Not Albums;Not Labels;Brandon Soo Hoo (born November 2, 1995) is an American actor, known for playing Tran in the 2008 film Tropic Thunder and for his series regular role on the Cartoon Network sketch comedy series Incredible Crew. Soo Hoo played Scott Fuller on the El Rey Network horror-drama series From Dusk till Dawn: The Series, based on the film of the same name from Director Robert Rodriguez.;Not description
Nate Burkey;89;Not Albums;Not Labels;"Nathaniel George Payos ""Nate"" Burkey is a Filipino American soccer player currently playing for Ceres F.C. and the Philippines national team. He played as a defensive midfielder during his college career and has since been playing as a forward at senior club level and the national team.";Not description
Major Curda;90;Not Albums;Not Labels;Major Curda is an actor.;Not description
Ryan Potter;91;Not Albums;Not Labels;"Ryan Potter (born September 12, 1995) is an American actor. He made his acting debut as the lead of the Nickelodeon series Supah Ninjas (2011–2013). As a voice actor, he has played Hiro Hamada in the animated film Big Hero 6 (2014) and its television series sequel (2017–present). Potter also currently portrays Garfield ""Gar"" Logan / Beast Boy in the series Titans (2018–present).";Not description
Neil Etheridge;92;Not Albums;Not Labels;"Neil Leonard Dula Etheridge (born 7 February 1990) is a professional footballer who plays as a goalkeeper for Championship club Cardiff City and the Philippines national team. He joined the Fulham Academy after three years as a trainee at Chelsea and made his debut for Fulham in UEFA Europa League against Danish club Odense Boldklub, though he never played in a league match with the club. While with Fulham from 2006 until 2014 he was loaned to various lower tier clubs; Leatherhead, Charlton Athletic, Bristol Rovers, and Crewe Alexandra.After leaving Fulham, Etheridge signed with Oldham Athletic before he was loaned to Charlton Athletic. He joined Charlton on a permanent basis in 2015 after his contract with Oldham ended. After months of being without a club, Etheridge joined Walsall, going on to make more than 90 appearances in all competitions in two seasons. He then moved on to Championship club Cardiff City in 2017. After establishing himself as first choice goalkeeper, he helped the Welsh side win promotion to the Premier League and became the first Filipino player to play in the Premier League in August 2018. A former England Schoolboys international, he now represents the Philippines at senior international level.";Not description
Aramis Knight;93;Not Albums;Not Labels;Aramis Knight (born October 3, 1999) is an American actor who has made appearances in dozens of television and an occasional movie roles. He is best known for the role of Bean in the 2013 film Ender's Game and for the lead role of M.K. in the AMC series Into the Badlands.;Not description
Ashish Sharma;94;Not Albums;Not Labels;Ashish Sharma is an Indian actor and producer.;Not description
Kenneth To;95;Not Albums;Not Labels;Kenneth King Him To (7 July 1992 – 19 March 2019) was a Hong Kong Australian swimmer who practised individual medley, freestyle, butterfly and breaststroke. He won 6 medals at the 2010 Summer Youth Olympics, was the male overall winner of the 2012 FINA Swimming World Cup and was a World Championships silver medallist. He was the holder of 16 Hong Kong national swimming records.;Not description
Iko Uwais;96;Not Albums;Not Labels;"Iko Uwais (born Uwais Qorny; February 12, 1983) is an Indonesian actor, stuntman, fight choreographer, and martial artist. He is best known for starring in the action films Merantau (2009), The Raid (2011), The Raid 2 (2014), Headshot (2016), Mile 22 (2018), The Night Comes for Us (2018), Stuber (2019) and the streaming series Wu Assassins (2019–present).";Not description
Sung Kang;97;Not Albums;Not Labels;"Sung Kang (Korean name: Kang Sung-Ho; ; born April 8, 1972) is an American actor. He is best known for his role as Han Lue in The Fast and the Furious film franchise.";Not description
Joe Taslim;98;Not Albums;Not Labels;Joe Taslim is an actor.;Not description
Sonu Sood;99;Not Albums;Not Labels;Sonu Sood (born 30 July 1973) is an Indian film actor, model, and producer who acts predominantly in Hindi, Telugu, Tamil, Kannada and Punjabi films.In 2009, he received the Andhra Pradesh State Nandi Award for Best Villain and the Filmfare Award for Best Supporting Actor – Telugu for his work in the Telugu blockbuster Arundhati. In 2010, he garnered the Apsara Award for Best Actor in a Negative Role and the IIFA Award for Best Performance in a Negative Role for the Bollywood blockbuster Dabangg. In 2012, he received the SIIMA Award for Best Actor in a Negative Role for Julayi. He is best known for roles in blockbuster films such as Yuva (2004), Athadu (2005),  Aashiq Banaya Aapne (2005), Jodhaa Akbar (2008), Dookudu (2011), Shootout at Wadala (2013), Happy New Year (2014), Kung Fu Yoga (2017) and Simmba (2018).He also appeared in commercials for Apollo Tyres and Airtel.In July 2016, he established the production house Shakti Sagar Productions, which is named after his father, Shakti Sagar Sood.;Not description
Fawad Khan;100;Not Albums;Not Labels;"Fawad Afzal Khan (born 29 November 1981) is a Pakistani actor, producer, screenwriter, model and singer. He has received several awards, including a Filmfare Award, three Lux Style Awards and six Hum Awards.Khan began his acting career on the television sitcom, Jutt and Bond. He formed an alternative rock band, Entity Paradigm, with the show's co-stars and began his music career as its lead singer. The band appeared on the finale of Pepsi Battle of the Bands in 2002 and Khan became known for its 2003 debut album, Irtiqa. After about 250 performances, he left the band to pursue a film career. Khan made his film debut with a supporting role in Shoaib Mansoor's sociodrama, Khuda Kay Liye (2007), one of Pakistan's highest-grossing films.He had his first success in the television period drama, Dastaan (2010), for which he received the Best Male Actor Award at the Pakistan Media Awards. Khan played a lead role in the Pakistani television serial Humsafar (2011), and appeared in Sultana Siddiqui's family drama Zindagi Gulzar Hai (2012). For both performances, he received the Lux Style Award for Best Actor - Satellite. Khan made his Bollywood film debut with the lead role in the romantic comedy, Khoobsurat (2014), for which he received the Filmfare Award for Best Male Debut. He was praised for his portrayal of a closeted homosexual in the critically  and commercially successful family drama, Kapoor & Sons (2016).In addition to acting, Khan has raised money for charitable organizations throughout Pakistan. He also appeared as a judge in 2017, and has endorsed several brands and products. Khan has been listed among the ""Sexiest Asian Males"" by the British magazine Eastern Eye. He founded a clothing brand named Silk by Fawad with his wife, and has modelled for prominent designers.";Not description
